Time	Predict	Treatment	Observe	Error
0	0.00	ACW*PMG	0	0
1	0.02	ACW*PMG	NA	NA
2	0.05	ACW*PMG	NA	NA
3	0.07	ACW*PMG	NA	NA
4	0.09	ACW*PMG	NA	NA
5	0.12	ACW*PMG	NA	NA
6	0.14	ACW*PMG	NA	NA
7	0.16	ACW*PMG	NA	NA
8	0.18	ACW*PMG	NA	NA
9	0.20	ACW*PMG	NA	NA
10	0.22	ACW*PMG	NA	NA
11	0.24	ACW*PMG	NA	NA
12	0.26	ACW*PMG	0.266666667	0.145296631
13	0.28	ACW*PMG	NA	NA
14	0.29	ACW*PMG	NA	NA
15	0.31	ACW*PMG	NA	NA
16	0.33	ACW*PMG	NA	NA
17	0.34	ACW*PMG	NA	NA
18	0.36	ACW*PMG	NA	NA
19	0.38	ACW*PMG	NA	NA
20	0.39	ACW*PMG	NA	NA
21	0.41	ACW*PMG	NA	NA
22	0.42	ACW*PMG	NA	NA
23	0.43	ACW*PMG	NA	NA
24	0.45	ACW*PMG	0.333333333	0.202758751
25	0.46	ACW*PMG	NA	NA
26	0.47	ACW*PMG	NA	NA
27	0.49	ACW*PMG	NA	NA
28	0.50	ACW*PMG	NA	NA
29	0.51	ACW*PMG	NA	NA
30	0.52	ACW*PMG	NA	NA
31	0.54	ACW*PMG	NA	NA
32	0.55	ACW*PMG	NA	NA
33	0.56	ACW*PMG	NA	NA
34	0.57	ACW*PMG	NA	NA
35	0.58	ACW*PMG	NA	NA
36	0.59	ACW*PMG	0.766666667	0.033333333
37	0.60	ACW*PMG	NA	NA
38	0.61	ACW*PMG	NA	NA
39	0.62	ACW*PMG	NA	NA
40	0.63	ACW*PMG	NA	NA
41	0.64	ACW*PMG	NA	NA
42	0.65	ACW*PMG	NA	NA
43	0.66	ACW*PMG	NA	NA
44	0.66	ACW*PMG	NA	NA
45	0.67	ACW*PMG	NA	NA
46	0.68	ACW*PMG	NA	NA
47	0.69	ACW*PMG	NA	NA
48	0.70	ACW*PMG	0.766666667	0.033333333
49	0.70	ACW*PMG	NA	NA
50	0.71	ACW*PMG	NA	NA
51	0.72	ACW*PMG	NA	NA
52	0.72	ACW*PMG	NA	NA
53	0.73	ACW*PMG	NA	NA
54	0.74	ACW*PMG	NA	NA
0	0.00	ACW	0	0
1	0.02	ACW	NA	NA
2	0.03	ACW	NA	NA
3	0.05	ACW	NA	NA
4	0.06	ACW	NA	NA
5	0.08	ACW	NA	NA
6	0.09	ACW	NA	NA
7	0.11	ACW	NA	NA
8	0.12	ACW	NA	NA
9	0.14	ACW	NA	NA
10	0.15	ACW	NA	NA
11	0.16	ACW	NA	NA
12	0.18	ACW	0.266666667	0.145296631
13	0.19	ACW	NA	NA
14	0.20	ACW	NA	NA
15	0.21	ACW	NA	NA
16	0.23	ACW	NA	NA
17	0.24	ACW	NA	NA
18	0.25	ACW	NA	NA
19	0.26	ACW	NA	NA
20	0.28	ACW	NA	NA
21	0.29	ACW	NA	NA
22	0.30	ACW	NA	NA
23	0.31	ACW	NA	NA
24	0.32	ACW	0.366666667	0.08819171
25	0.33	ACW	NA	NA
26	0.34	ACW	NA	NA
27	0.35	ACW	NA	NA
28	0.36	ACW	NA	NA
29	0.37	ACW	NA	NA
30	0.38	ACW	NA	NA
31	0.39	ACW	NA	NA
32	0.40	ACW	NA	NA
33	0.41	ACW	NA	NA
34	0.42	ACW	NA	NA
35	0.43	ACW	NA	NA
36	0.44	ACW	0.533333333	0.08819171
37	0.45	ACW	NA	NA
38	0.46	ACW	NA	NA
39	0.47	ACW	NA	NA
40	0.48	ACW	NA	NA
41	0.48	ACW	NA	NA
42	0.49	ACW	NA	NA
43	0.50	ACW	NA	NA
44	0.51	ACW	NA	NA
45	0.52	ACW	NA	NA
46	0.52	ACW	NA	NA
47	0.53	ACW	NA	NA
48	0.54	ACW	0.533333333	0.08819171
49	0.55	ACW	NA	NA
50	0.55	ACW	NA	NA
51	0.56	ACW	NA	NA
52	0.57	ACW	NA	NA
53	0.57	ACW	NA	NA
54	0.58	ACW	NA	NA
0	0.00	PMG	0	0
1	0.01	PMG	NA	NA
2	0.02	PMG	NA	NA
3	0.03	PMG	NA	NA
4	0.04	PMG	NA	NA
5	0.05	PMG	NA	NA
6	0.05	PMG	NA	NA
7	0.06	PMG	NA	NA
8	0.07	PMG	NA	NA
9	0.08	PMG	NA	NA
10	0.09	PMG	NA	NA
11	0.10	PMG	NA	NA
12	0.11	PMG	0.2	1.96262E-17
13	0.11	PMG	NA	NA
14	0.12	PMG	NA	NA
15	0.13	PMG	NA	NA
16	0.14	PMG	NA	NA
17	0.15	PMG	NA	NA
18	0.15	PMG	NA	NA
19	0.16	PMG	NA	NA
20	0.17	PMG	NA	NA
21	0.18	PMG	NA	NA
22	0.18	PMG	NA	NA
23	0.19	PMG	NA	NA
24	0.20	PMG	0.233333333	0.033333333
25	0.21	PMG	NA	NA
26	0.21	PMG	NA	NA
27	0.22	PMG	NA	NA
28	0.23	PMG	NA	NA
29	0.24	PMG	NA	NA
30	0.24	PMG	NA	NA
31	0.25	PMG	NA	NA
32	0.26	PMG	NA	NA
33	0.26	PMG	NA	NA
34	0.27	PMG	NA	NA
35	0.28	PMG	NA	NA
36	0.28	PMG	0.333333333	0.033333333
37	0.29	PMG	NA	NA
38	0.30	PMG	NA	NA
39	0.30	PMG	NA	NA
40	0.31	PMG	NA	NA
41	0.32	PMG	NA	NA
42	0.32	PMG	NA	NA
43	0.33	PMG	NA	NA
44	0.34	PMG	NA	NA
45	0.34	PMG	NA	NA
46	0.35	PMG	NA	NA
47	0.35	PMG	NA	NA
48	0.36	PMG	0.366666667	0.033333333
49	0.37	PMG	NA	NA
50	0.37	PMG	NA	NA
51	0.38	PMG	NA	NA
52	0.38	PMG	NA	NA
53	0.39	PMG	NA	NA
54	0.39	PMG	NA	NA
0	0.00	FSW	0	0
1	0.00	FSW	NA	NA
2	0.00	FSW	NA	NA
3	0.00	FSW	NA	NA
4	0.00	FSW	NA	NA
5	0.00	FSW	NA	NA
6	0.00	FSW	NA	NA
7	0.01	FSW	NA	NA
8	0.01	FSW	NA	NA
9	0.01	FSW	NA	NA
10	0.01	FSW	NA	NA
11	0.01	FSW	NA	NA
12	0.01	FSW	0.033333333	0.033333333
13	0.01	FSW	NA	NA
14	0.01	FSW	NA	NA
15	0.01	FSW	NA	NA
16	0.01	FSW	NA	NA
17	0.01	FSW	NA	NA
18	0.01	FSW	NA	NA
19	0.01	FSW	NA	NA
20	0.01	FSW	NA	NA
21	0.02	FSW	NA	NA
22	0.02	FSW	NA	NA
23	0.02	FSW	NA	NA
24	0.02	FSW	0.033333333	0.033333333
25	0.02	FSW	NA	NA
26	0.02	FSW	NA	NA
27	0.02	FSW	NA	NA
28	0.02	FSW	NA	NA
29	0.02	FSW	NA	NA
30	0.02	FSW	NA	NA
31	0.02	FSW	NA	NA
32	0.02	FSW	NA	NA
33	0.02	FSW	NA	NA
34	0.02	FSW	NA	NA
35	0.03	FSW	NA	NA
36	0.03	FSW	0.033333333	0.033333333
37	0.03	FSW	NA	NA
38	0.03	FSW	NA	NA
39	0.03	FSW	NA	NA
40	0.03	FSW	NA	NA
41	0.03	FSW	NA	NA
42	0.03	FSW	NA	NA
43	0.03	FSW	NA	NA
44	0.03	FSW	NA	NA
45	0.03	FSW	NA	NA
46	0.03	FSW	NA	NA
47	0.03	FSW	NA	NA
48	0.03	FSW	0.033333333	0.033333333
49	0.04	FSW	NA	NA
50	0.04	FSW	NA	NA
51	0.04	FSW	NA	NA
52	0.04	FSW	NA	NA
53	0.04	FSW	NA	NA
54	0.04	FSW	NA	NA
