ID	site	plate	face	Annelida	Ascidia	Bryozoa	CCA	Chlorophyta	Cnidaria	Colonial Ascidia	Crustacea	Echinodermata	Foraminifera	Indeterminate	Mollusca	Not alive	Other Algae	Phaeophyta	Porifera	Rhodophyta
KAUS_S1A_P1T	KAU	A	T	0	0	0	14	0	0	0	0	0	0	0	0	22	19	0	0	9
KAUS_S1A_P4T	KAU	B	T	1	0	19	15	0	0	1	0	0	0	3	1	11	1	0	12	0
KAUS_S1A_P8T	KAU	C	T	0	0	18	4	0	2	0	0	0	0	1	0	36	2	0	1	0
KAUS_S1B_P1T	KAU	A	T	0	0	0	19	0	0	0	0	0	0	0	0	29	3	0	0	13
KAUS_S1B_P4T	KAU	B	T	0	0	7	3	0	0	0	0	0	0	0	0	45	3	0	0	6
KAUS_S1B_P8T	KAU	C	T	0	0	5	0	0	0	0	0	0	0	0	0	57	0	0	0	2
KAUS_S1C_P1T	KAU	A	T	0	0	0	9	17	0	0	0	0	0	0	0	32	0	0	0	6
KAUS_S1C_P4T	KAU	B	T	7	0	1	4	5	0	0	0	0	0	0	3	29	0	0	15	0
KAUS_S1C_P8T	KAU	C	T	0	0	0	4	0	0	0	0	0	0	0	0	2	57	0	0	1
KAUS_S2A_P1T	KAU	A	T	0	0	0	22	4	0	0	0	0	0	0	0	0	38	0	0	0
KAUS_S2A_P4T	KAU	B	T	21	0	0	3	0	3	0	0	0	0	1	1	25	0	0	10	0
KAUS_S2A_P8T	KAU	C	T	23	0	2	1	0	0	2	0	0	1	1	0	17	6	0	10	1
KAUS_S2B_P1T	KAU	A	T	0	0	0	33	0	0	0	0	0	0	0	0	5	21	0	0	5
KAUS_S2B_P4T	KAU	B	T	3	0	1	2	0	0	0	0	0	0	0	1	47	2	0	8	0
KAUS_S2B_P8T	KAU	C	T	6	0	1	0	0	0	0	0	0	2	0	0	55	0	0	0	0
KAUS_S2C_P1T	KAU	A	T	0	0	0	13	0	0	0	0	0	0	0	0	10	0	0	0	41
KAUS_S2C_P4T	KAU	B	T	2	0	0	7	0	0	0	0	0	0	0	0	55	0	0	0	0
KAUS_S2C_P8T	KAU	C	T	2	0	2	11	0	0	0	0	0	0	1	0	13	34	0	0	1
KAUS_S3A_P1T	KAU	A	T	0	0	0	11	0	0	0	0	0	0	0	0	23	0	0	0	30
KAUS_S3A_P4T	KAU	B	T	1	0	8	5	0	0	0	0	0	0	0	0	41	7	0	0	2
KAUS_S3A_P8T	KAU	C	T	0	0	1	8	1	0	0	0	0	0	0	0	44	10	0	0	0
KAUS_S3B_P1T	KAU	A	T	1	0	0	11	0	0	0	0	0	0	0	0	26	26	0	0	0
KAUS_S3B_P4T	KAU	B	T	1	0	0	10	0	0	0	0	0	0	0	0	32	20	0	0	1
KAUS_S3B_P8T	KAU	C	T	1	0	4	10	0	0	0	0	0	0	0	0	45	4	0	0	0
KAUS_S3C_P1T	KAU	A	T	0	0	0	15	0	0	0	0	0	0	0	0	21	25	0	0	3
KAUS_S3C_P4T	KAU	B	T	0	0	15	8	0	1	0	0	0	0	0	0	25	15	0	0	0
KAUS_S3C_P8T	KAU	C	T	0	0	16	11	0	0	1	0	0	0	0	0	27	9	0	0	0
KAUS_S1A_P1B	KAU	A	B	14	0	3	8	0	0	0	0	0	0	0	3	4	4	0	28	0
KAUS_S1A_P4B	KAU	B	B	7	0	4	7	0	0	0	0	0	3	6	0	23	0	0	14	0
KAUS_S1A_P8B	KAU	C	B	1	0	10	19	0	0	0	0	0	1	0	0	25	1	0	7	0
KAUS_S1B_P1B	KAU	A	B	28	0	7	7	0	1	0	0	0	0	3	1	11	0	0	6	0
KAUS_S1B_P4B	KAU	B	B	0	0	16	7	0	0	0	0	0	0	6	0	26	2	0	6	1
KAUS_S1B_P8B	KAU	C	B	5	0	9	0	0	0	0	0	0	0	18	0	27	0	0	3	2
KAUS_S1C_P1B	KAU	A	B	9	0	5	5	0	0	0	0	0	0	2	10	18	0	0	14	1
KAUS_S1C_P4B	KAU	B	B	2	1	16	5	0	0	4	0	0	3	1	1	22	1	0	8	0
KAUS_S1C_P8B	KAU	C	B	0	0	12	11	0	0	0	0	0	3	7	2	26	0	0	3	0
KAUS_S2A_P1B	KAU	A	B	16	0	0	0	0	0	3	0	0	1	0	0	6	0	0	38	0
KAUS_S2A_P4B	KAU	B	B	10	0	0	4	0	0	0	0	0	1	3	1	23	0	0	21	1
KAUS_S2A_P8B	KAU	C	B	7	0	11	4	4	0	0	0	0	1	2	1	19	0	0	15	0
KAUS_S2B_P1B	KAU	A	B	22	1	1	1	0	0	0	0	0	0	1	2	4	1	0	28	3
KAUS_S2B_P4B	KAU	B	B	6	4	3	1	0	0	0	0	0	0	1	3	22	0	0	22	2
KAUS_S2B_P8B	KAU	C	B	3	0	12	0	0	0	0	0	0	0	12	0	33	0	0	4	0
KAUS_S2C_P1B	KAU	A	B	24	0	8	9	0	0	1	0	0	0	1	8	6	0	0	7	0
KAUS_S2C_P4B	KAU	B	B	1	0	9	5	0	0	0	0	0	0	2	0	27	0	0	20	0
KAUS_S2C_P8B	KAU	C	B	8	0	12	10	0	0	0	0	0	0	4	0	19	0	0	11	0
KAUS_S3A_P1B	KAU	A	B	0	0	9	6	0	0	3	0	0	0	9	0	9	0	0	18	10
KAUS_S3A_P4B	KAU	B	B	0	0	0	15	0	1	0	0	0	0	26	0	14	0	0	8	0
KAUS_S3A_P8B	KAU	C	B	3	0	6	16	0	0	0	0	0	0	8	0	25	0	0	5	1
KAUS_S3B_P1B	KAU	A	B	8	1	24	6	0	4	0	0	0	0	9	0	3	0	0	4	5
KAUS_S3B_P4B	KAU	B	B	2	0	8	6	0	15	0	0	0	0	4	0	23	0	0	6	0
KAUS_S3B_P8B	KAU	C	B	4	0	26	13	1	0	0	0	0	0	2	0	14	0	0	2	2
KAUS_S3C_P1B	KAU	A	B	0	0	29	5	0	0	5	0	0	1	4	2	2	5	0	11	0
KAUS_S3C_P4B	KAU	B	B	0	0	18	16	0	0	0	0	0	0	8	0	14	0	0	8	0
KAUS_S3C_P8B	KAU	C	B	1	0	19	16	0	0	0	0	0	0	4	0	16	6	0	2	0
