Observed	Predicted
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.555555556	0.248522707
0.5	0.328566466
0.7	0.3725049
0	0.139615537
0.5	0.259181779
0.2	0.112814111
0.2	0.0856595
0.1	0.026256677
0.222222222	0.16533338
0	0.216727646
0.5	0.222559567
0.2	0.117791072
0.7	0.358819612
0.8	0.44936608
0.3	0.220046292
0.5	0.269924074
0.3	0.08860921
0.3	0.161342667
0.333333333	0.171947934
0.4	0.155502991
0	0
0.3	0.121975956
0	0
0.5	0.263211606
0.555555556	0.435281878
0.7	0.549177009
0.8	0.6062499
0.2	0.259738576
0.5	0.451188364
0.2	0.212901198
0.2	0.16398145
0.1	0.051823941
0.222222222	0.303331634
0	0.386484419
0.6	0.395586374
0.3	0.221707407
0.8	0.588887709
0.9	0.696802286
0.3	0.391672214
0.7	0.466989142
0.3	0.169366827
0.5	0.296653878
0.444444444	0.314329776
0.4	0.286824802
0	0
0.4	0.229073778
0	0
0.7	0.457142862
0.555555556	0.575627154
0.8	0.697302326
0.8	0.752923742
0.5	0.363090573
0.7	0.59343034
0.3	0.30169705
0.3	0.235594381
0.1	0.076719893
0.555555556	0.41851417
0.8	0.519450207
0.6	0.530104409
0.4	0.313383325
0.8	0.736402862
0.9	0.833049054
0.7	0.525532488
0.7	0.610861604
0.3	0.242968576
0.5	0.410133617
0.444444444	0.432229355
0.4	0.397725678
0	0
0.4	0.323108241
0	0
0.7	0.600029161
0.666666667	0.681093443
0.8	0.796758631
0.8	0.844960859
0.5	0.452013024
0.7	0.698805788
0.4	0.380475476
0.3	0.301072985
0.1	0.100962161
0.555555556	0.514653187
0.8	0.623598632
0.6	0.634684168
0.4	0.394260639
0.8	0.830986685
0.9	0.908071146
0.7	0.629937304
0.7	0.715899425
0.3	0.310048532
0.5	0.505304233
0.555555556	0.529856345
0.5	0.491381137
0	0
0.4	0.405672761
0	0
0.7	0.705306128
