Time	Organism	Mass	Difference	percent_change	percent_change2
0	Star_large	15.67	0	0	1
15	Star_large	15.97	0.3	0.018785222	1.019144863
30	Star_large	15.82	-0.15	-0.009481669	1.009572431
45	Star_large	15.61	-0.21	-0.013452915	0.996171027
0	Clam	96.41	0	0	1
15	Clam	95.51	-0.9	-0.009423097	0.990664869
30	Clam	94.56	-0.95	-0.010046531	0.980811119
45	Clam	94.33	-0.23	-0.002438249	0.978425475
0	Crab	12.08	0	0	1
15	Crab	11.92	-0.16	-0.013422819	0.986754967
30	Crab	12	0.08	0.006666667	0.993377483
45	Crab	12.04	0.04	0.003322259	0.996688742
0	Star_Chocolate_chip	24.75	0	0	1
15	Star_Chocolate_chip	24.67	-0.08	-0.003242805	0.996767677
30	Star_Chocolate_chip	24.55	-0.12	-0.004887984	0.991919192
45	Star_Chocolate_chip	24.26	-0.29	-0.011953833	0.98020202
0	Horseshoe_crab1	10.18	0	0	1
15	Horseshoe_crab1	10.39	0.21	0.020211742	1.020628684
30	Horseshoe_crab1	10.35	-0.04	-0.003864734	1.016699411
45	Horseshoe_crab1	10.21	-0.14	-0.013712047	1.002946955
0	Snail	11.92	0	0	1
15	Snail	12.27	0.35	0.028524857	1.029362416
30	Snail	12.51	0.24	0.019184652	1.049496644
45	Snail	13.27	0.76	0.057272042	1.113255034
0	Horseshoe_crab2	23.99	0	0	1
15	Horseshoe_crab2	24.52	0.53	0.021615008	1.022092539
30	Horseshoe_crab2	24.52	0	0	1.022092539
45	Horseshoe_crab2	24.72	0.2	0.008090615	1.030429346
0	Star_brittle	1.85	0	0	1
15	Star_brittle	1.88	0.03	0.015957447	1.016216216
30	Star_brittle	1.86	-0.02	-0.010752688	1.005405405
45	Star_brittle	1.87	0.01	0.005347594	1.010810811
